    -0.1387572, -0.1889362, -0.2319088, -0.2692921, -0.3013165, -0.3282226, 
    -0.3502296, -0.3675449, -0.3803597, -0.3889045, -0.3933645, -0.3941145, 
    -0.3911607, -0.3848886, -0.3756867, -0.363343, -0.3485153, -0.3312716, 
    -0.3119388, -0.2909382, -0.2681515, -0.2441105, -0.2194631, -0.1937679, 
    -0.1677981, -0.1420543, -0.1163395, -0.09135544, -0.0674279, -0.04486868, 
    -0.02315418, -0.00174582, 0.01933827, 0.04018133, 0.0609626, 0.08163211, 
    0.1023729, 0.1233437, 0.1441498, 0.1654063, 0.1871424, 0.2090223, 
    0.231652, 0.2549446, 0.2789375, 0.3039429, 0.3299289, 0.3574807, 
    0.3861106, 0.4164898, 0.4485779, 0.4826664, 0.5190455, 0.557771, 
    0.5992727, 0.6437107, 0.6913981, 0.7426228,
  1.734614, 1.791963, 1.847596, 1.899998, 1.94902, 1.993797, 2.034155, 
    2.070622, 2.10814, 2.147036, 2.18693, 2.227575, 2.26848, 2.309387, 
    2.350064, 2.389957, 2.428951, 2.466507, 2.502429, 2.536394, 2.568043, 
    2.597085, 2.623137, 2.645941, 2.665092, 2.680333, 2.691401, 2.697926, 
    2.699572, 2.696021, 2.686993, 2.672297, 2.651371, 2.624086, 2.590035, 
    2.548685, 2.496954, 2.43473, 2.362925, 2.28221, 2.193351, 2.097158, 
    1.994242, 1.885616, 1.771895, 1.653905, 1.532284, 1.408022, 1.281798, 
    1.154398, 1.026584, 0.89904, 0.7727743, 0.6484538, 0.5267622, 0.4087083, 
    0.294983, 0.1863678, 0.08357023, -0.01241442, -0.1008972, -0.1810212, 
    -0.2521196, -0.3133484, -0.3682716, -0.4187012, -0.4648595, -0.5066088, 
    -0.5442564, -0.5776879, -0.6074126, -0.6330618, -0.6550248, -0.6733513, 
    -0.6882166, -0.699544, -0.7077814, -0.7127495, -0.714875, -0.7141127, 
    -0.7107131, -0.7046742, -0.6963926, -0.685807, -0.6732832, -0.6590222, 
    -0.6430215, -0.6257093, -0.607235, -0.5878361, -0.5679706, -0.547316, 
    -0.5258524, -0.502519, -0.4776744, -0.4511185, -0.4231421, -0.3936814, 
    -0.3629444, -0.3309917, -0.2977523, -0.2634056, -0.2279929, -0.1913196, 
    -0.1535993, -0.1150412, -0.07543231, -0.03480156, 0.006995827, 
    0.04973656, 0.09351513, 0.1384398, 0.1844926, 0.2317454, 0.2804582, 
    0.3303791, 0.3820109, 0.4351451, 0.4901364, 0.5470756,
  1.972897, 2.036017, 2.096635, 2.153437, 2.205822, 2.253472, 2.295583, 
    2.332967, 2.37072, 2.40889, 2.447572, 2.486225, 2.524792, 2.562651, 
    2.59964, 2.63552, 2.669867, 2.702452, 2.733004, 2.761279, 2.786806, 
    2.809452, 2.828959, 2.844922, 2.857002, 2.865125, 2.868881, 2.868062, 
    2.862311, 2.851388, 2.834971, 2.812796, 2.78471, 2.75025, 2.709277, 
    2.661082, 2.60261, 2.533733, 2.45503, 2.367368, 2.271584, 2.168277, 
    2.058226, 1.942339, 1.82121, 1.695619, 1.566408, 1.434432, 1.30022, 
    1.164671, 1.028673, 0.8927684, 0.757852, 0.6246984, 0.4942218, 0.3669562, 
    0.2438052, 0.1255804, 0.01314588, -0.09290198, -0.1916334, -0.2823254, 
    -0.3640032, -0.4362406, -0.503062, -0.5664454, -0.6264046, -0.6830661, 
    -0.7361163, -0.7858343, -0.8320599, -0.8748563, -0.9141947, -0.9500853, 
    -0.9824854, -1.01149, -1.037145, -1.059347, -1.078082, -1.093785, 
    -1.105963, -1.114962, -1.12078, -1.123626, -1.123388, -1.120273, 
    -1.114124, -1.105504, -1.094198, -1.080331, -1.064117, -1.045673, 
    -1.024266, -0.9988133, -0.9702617, -0.9380963, -0.9027916, -0.8647199, 
    -0.8241367, -0.7810209, -0.7354177, -0.6879634, -0.638584, -0.5874751, 
    -0.5348833, -0.480873, -0.4256286, -0.3693054, -0.3120837, -0.2540743, 
    -0.1953008, -0.1359065, -0.07597753, -0.0155003, 0.0452283, 0.1064215, 
    0.1678832, 0.2296979, 0.2917798, 0.3542788,
  2.208047, 2.276693, 2.341858, 2.402706, 2.458675, 2.508772, 2.55285, 
    2.591156, 2.628742, 2.666456, 2.703804, 2.740726, 2.776591, 2.81151, 
    2.844967, 2.876733, 2.906682, 2.934349, 2.959686, 2.98215, 3.001879, 
    3.018332, 3.031234, 3.040454, 3.04574, 3.046867, 3.043507, 3.035416, 
    3.022377, 3.004168, 2.980499, 2.951209, 2.915953, 2.874457, 2.826638, 
    2.771842, 2.70679, 2.63116, 2.545794, 2.451391, 2.348709, 2.238344, 
    2.121311, 1.998244, 1.869879, 1.736975, 1.600168, 1.460486, 1.31854, 
    1.175105, 1.03094, 0.8866936, 0.7433844, 0.6016653, 0.4622963, 0.3260669, 
    0.1936491, 0.06602328, -0.05607593, -0.1719402, -0.2808494, -0.3817864, 
    -0.4740903, -0.5571124, -0.6355755, -0.7118503, -0.7855906, -0.8567804, 
    -0.9252239, -0.9909014, -1.053549, -1.113268, -1.169799, -1.22299, 
    -1.272926, -1.319316, -1.362141, -1.401368, -1.436774, -1.468429, 
    -1.496275, -1.520341, -1.540305, -1.55608, -1.568116, -1.576033, 
    -1.579684, -1.579453, -1.57509, -1.566748, -1.554184, -1.537833, 
    -1.516286, -1.48912, -1.45655, -1.4188, -1.376435, -1.32987, -1.278996, 
    -1.224745, -1.16713, -1.106666, -1.043267, -0.9778844, -0.9103755, 
    -0.84115, -0.7704976, -0.698655, -0.6260923, -0.5526867, -0.4791341, 
    -0.405332, -0.3316933, -0.258448, -0.1856605, -0.1134411, -0.04223523, 
    0.02799594, 0.09711072, 0.1649178,
  2.438971, 2.512702, 2.582602, 2.647291, 2.706309, 2.759092, 2.80485, 
    2.843911, 2.881569, 2.918622, 2.954752, 2.98963, 3.023107, 3.055002, 
    3.085064, 3.112943, 3.138402, 3.16139, 3.18145, 3.19857, 3.212405, 
    3.222747, 3.229416, 3.232131, 3.230703, 3.224974, 3.214626, 3.199504, 
    3.179312, 3.154, 3.123262, 3.086861, 3.044624, 2.996391, 2.941849, 
    2.880566, 2.808935, 2.726814, 2.634903, 2.533795, 2.424317, 2.307312, 
    2.183328, 2.053303, 1.917785, 1.777586, 1.633624, 1.486383, 1.336733, 
    1.185449, 1.03341, 0.8811156, 0.7294643, 0.5793418, 0.4312741, 0.2861455, 
    0.1448628, 0.007930569, -0.1236848, -0.2493, -0.3679468, -0.4790838, 
    -0.5817608, -0.6754472, -0.7654983, -0.8542762, -0.9415336, -1.027109, 
    -1.110687, -1.192116, -1.27099, -1.347342, -1.420825, -1.49105, 
    -1.558108, -1.6217, -1.681494, -1.737396, -1.789304, -1.836904, -1.88006, 
    -1.918629, -1.952478, -1.98142, -2.005474, -2.023951, -2.037426, 
    -2.045455, -2.047909, -2.044985, -2.036336, -2.021868, -2.000353, 
    -1.971086, -1.934458, -1.891192, -1.841838, -1.786357, -1.725842, 
    -1.660662, -1.590928, -1.517405, -1.44061, -1.360832, -1.278575, 
    -1.194376, -1.108344, -1.021376, -0.933481, -0.8452018, -0.7569319, 
    -0.6690654, -0.5818995, -0.4958215, -0.4112971, -0.3284125, -0.2475737, 
